,0
411,"Flipkart CustomerCertified Buyer, Chakdaha5 months ago"
412,173332PermalinkReport Abuse
413,5Best in the market!
414,SuperbREAD MORE
415,"Abhishek SainiCertified Buyer, Pune2 months ago21PermalinkReport Abuse"
416,"Abhishek SainiCertified Buyer, Pune2 months ago"
417,21PermalinkReport Abuse
418,5Wonderful
419,Nice experienceREAD MORE
420,"Flipkart CustomerCertified Buyer, Ahmedabad5 months ago21PermalinkReport Abuse"
421,"Flipkart CustomerCertified Buyer, Ahmedabad5 months ago"
422,21PermalinkReport Abuse
423,5Super!
424,I am happy to get the new I phone it's fantastic and delivery was fabulous 🤩READ MORE
425,"Ranjeet DangiCertified Buyer, Bhopal5 months ago21PermalinkReport Abuse"
426,"Ranjeet DangiCertified Buyer, Bhopal5 months ago"
427,21PermalinkReport Abuse
428,5Brilliant
429,Perfect 💗💗READ MORE
430,"Faizan KhanCertified Buyer, New Delhi6 months ago21PermalinkReport Abuse"
431,"Faizan KhanCertified Buyer, New Delhi6 months ago"
432,21PermalinkReport Abuse
433,5Highly recommended
434,It was osam I like itREAD MORE
435,"Anand  SinghCertified Buyer, Karnal6 months ago21PermalinkReport Abuse"
436,"Anand  SinghCertified Buyer, Karnal6 months ago"
437,21PermalinkReport Abuse
438,5Great product
439,Everything is good.But the the is little heavy to hold.READ MORE
440,"Rithvik  K ShankarCertified Buyer, Bengaluru6 months ago31PermalinkReport Abuse"
441,"Rithvik  K ShankarCertified Buyer, Bengaluru6 months ago"
442,31PermalinkReport Abuse
443,2Expected a better product
444,Over pricy Camera is not greatREAD MORE
445,"NAVEEN JAINCertified Buyer, Bengaluru12 days ago42PermalinkReport Abuse"
446,"NAVEEN JAINCertified Buyer, Bengaluru12 days ago"
447,42PermalinkReport Abuse
448,
449,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
450,"4.6★1,074 Ratings &123 Reviews5★4★3★2★1★90967191168"
451,4.6★
452,"1,074 Ratings &"
453,123 Reviews
454,5Just wow!
455,Amazing phone..Amazing delivery..super happy with the buy!!!READ MORE
456,"Flipkart CustomerCertified Buyer, New Delhi4 months ago32PermalinkReport Abuse"
457,"Flipkart CustomerCertified Buyer, New Delhi4 months ago"
458,32PermalinkReport Abuse
459,5Highly recommended
460,Excellent phone.READ MORE
461,"Brijesh VermaCertified Buyer, Kanpur4 months ago32PermalinkReport Abuse"
462,"Brijesh VermaCertified Buyer, Kanpur4 months ago"
463,32PermalinkReport Abuse
464,1Terrible product
465,Cons: To enable location you need to open settings. No shortcut2. Hotspot not working properly..3. Connecting with other devices is headache4. Bluetooth transfer not working for Android5. Downloaded file unable to open directly.. first move in file or gallery then use it6. No updates and poor application development because in india most users are Android so developers careless for ios7. Heavy weight8. Make different types of cable so you unable to find anywhere and forcibly purchase f...READ MORE
466,"Anil yadavCertified Buyer, Ahmedabad2 months ago5395PermalinkReport Abuse"
467,"Anil yadavCertified Buyer, Ahmedabad2 months ago"
468,5395PermalinkReport Abuse
469,1Not recommended at all
470,WorstREAD MORE
471,"Meenakshi DharmalingamCertified Buyer, Nagapattinam4 months ago70181PermalinkReport Abuse"
472,"Meenakshi DharmalingamCertified Buyer, Nagapattinam4 months ago"
473,70181PermalinkReport Abuse
474,5Super!
475,Best thing i have ever usedREAD MORE
476,"Harish KumarCertified Buyer, Pataudi6 months ago34PermalinkReport Abuse"
477,"Harish KumarCertified Buyer, Pataudi6 months ago"
478,34PermalinkReport Abuse
479,5Perfect product!
480,Simply awesome 😎😎😎No comparison whatsoever 🙂READ MORE
481,"Ashok RathodCertified Buyer, Deulgaon Raja6 months ago44PermalinkReport Abuse"
482,"Ashok RathodCertified Buyer, Deulgaon Raja6 months ago"
483,44PermalinkReport Abuse
484,5Mind-blowing purchase
485,"Awesome phone no one can beat iPhone. Upgraded from 7 plus 128gb to 13 pro max 128 gb. Battery, camera , Display fabulous.READ MORE"
486,"Farhan Ahmed  KhanCertified Buyer, Hajipur1 month ago21PermalinkReport Abuse"
487,"Farhan Ahmed  KhanCertified Buyer, Hajipur1 month ago"
488,21PermalinkReport Abuse
489,5Wonderful
490,Not being an heavy user the battery last for 2days. The phone is bit thick and heavy in wait. Company should try manufacturing thinner phones with similar kind of specs. Overall the phone is good.READ MORE
491,"Ratnesh  SinghCertified Buyer, Mumbai4 months ago11PermalinkReport Abuse"
492,"Ratnesh  SinghCertified Buyer, Mumbai4 months ago"
493,11PermalinkReport Abuse
494,5Excellent
495,okREAD MORE
496,"Prasanta  KilikdarCertified Buyer, Kailasahar4 months ago11PermalinkReport Abuse"
497,"Prasanta  KilikdarCertified Buyer, Kailasahar4 months ago"
498,11PermalinkReport Abuse
499,5Terrific purchase
500,Excellent performanceREAD MORE
501,"Gaurang  PatelCertified Buyer, Gandhinagar4 months ago11PermalinkReport Abuse"
502,"Gaurang  PatelCertified Buyer, Gandhinagar4 months ago"
503,11PermalinkReport Abuse
504,
505,"ABOUTContact UsAbout UsCareersFlipkart StoriesPressFlipkart WholesaleCorporate InformationHELPPaymentsShippingCancellation & ReturnsFAQReport InfringementPOLICYReturn PolicyTerms Of UseSecurityPrivacySitemapEPR ComplianceSOCIALFacebookTwitterYouTubeMail Us:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India
Registered Office Address:Flipkart Internet Private Limited, 
 Buildings Alyssa, Begonia & 
 Clove Embassy Tech Village, 
 Outer Ring Road, Devarabeesanahalli Village, 
 Bengaluru, 560103, 
 Karnataka, India 
 CIN : U51109KA2012PTC066107 
 Telephone: 1800 202 9898
"
